product_name,price,title,reviewer,date,description
JC Blue Trenchcoat – Camouflage – Regenjas dames – Regenjas Heren - waterdicht - Maat L,"36
  95",prima jas,jozephus,18 maart 2023,goede pasvorm goede kwaliteitAanrader
JC Blue Trenchcoat – Camouflage – Regenjas dames – Regenjas Heren - waterdicht - Maat L,"36
  95","Goede jas, verkeerde maat",Minette75,11 maart 2023,"De jas ziet er goed uit, men stuurde mij echter de verkeerde maat, jas moet retour."
Clique Heren Bomber Jack Dark Navy Maat M,"54
  95",een aanrader voor niet teveel geld.,Ligtgewicht,20 mei 2022,fijn jasje houd wind en regen buiten een aanrader voor weinig geld.
Clique Heren Bomber Jack Dark Navy Maat M,"54
  95",Mooie en fijne jas,Pedrouit74,9 maart 2021,Geweldige jas. Zit fijn en staat gied
Clique Heren Bomber Jack Dark Navy Maat M,"54
  95",Geweldige Bomber Jack!,ArjandeGraaf,4 oktober 2020,Zeer goede bomber jack met goede kwaliteit. Het heeft een goede pasvorm.
Stijlvolle regenjas met drukknopen en capuchon - Voor dames en heren - Transparant - Universeel pasbaar - Regenjack,"11
  90",Mooi model,Daphne10,17 juni 2020,Heb al heel snel dat een regenjas te ruim zit maar toch zit deze goed!Mooi model met goede zakken en een goede sluiting.
Stijlvolle regenjas met drukknopen en capuchon - Voor dames en heren - Transparant - Universeel pasbaar - Regenjack,"11
  90",PRULLENBAK,TURKISH,30 mei 2022,Stelt helemaal niks voor!! Zonde voor je geld!!! Ik heb die bestelt en op 1ste dag qan te trekken zijn de knopjes Los gekomen wat niet mocht gebeuren en hey is niks anders dan een stukje prul om in prulbak te gooien beste mensen!!
Stijlvolle regenjas met drukknopen en capuchon - Voor dames en heren - Transparant - Universeel pasbaar - Regenjack,"11
  90",Prima regenjas voor mensen met korte armen,kptnmnd,6 januari 2021,Is opzich een prima regenjas. Heeft wel erg korte mouwen. Dus voor de kortere mensen wellicht wel een goede pasvorm.
Stijlvolle regenjas met drukknopen en capuchon - Voor dames en heren - Transparant - Universeel pasbaar - Regenjack,"11
  90",Teleurstelling,MartinAngeli,18 februari 2020,Veel te duur voor stukje plastic.
Classic Basic Bomberjack olijf,"74
  95",ik had het artikel sneller dan verwacht,Reinhard60,13 december 2022,prima kwaliteit en zit als gegoten
Classic Basic Bomberjack olijf,"74
  95",Een aanrader,Bodevogel,3 oktober 2022,Mooie jas. Ben er zeer blij mee.
Classic Basic Bomberjack olijf,"74
  95",heel tevreden,bourgal,13 mei 2022,"past zeer goed, is van goede kwaliteit en mooi afgewerkt. vroeger geleverd dan voorzien."
Classic Basic Bomberjack olijf,"74
  95",Oldskool bomberjack,RonaldB1973,1 april 2022,Lekker oldskool jasje die weer helemaal in is!
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Satexo NEVADA Bodywarmer Marineblauw | Maat S,"20
  -",Zeer goed,Pst123,26 februari 2022,Positieve punten van dit artikel zijn: voldoet aan verwachting en handig in gebruik.
Clique Basic Softshell Jas Heren-580-XL,"43
  60",Top jas!,Vinnie37,19 januari 2022,"Dunne en fijne jas, houd de wind goed tegen en tegelijk een warme jas. Top!"
Clique Basic Softshell Jas Heren-580-XL,"43
  60",Top kwaliteit,Rick28282828,2 april 2019,Geweldige jas wind en waterdicht en lekker warm
Clique Basic Softshell Jas Heren-580-XL,"43
  60",Topper,Youridr,30 november 2021,Prima vest voor zeer lage prijs. Top.
Clique Basic Softshell Jas Heren-580-XL,"43
  60",Kwaliteit,Wilfred21,9 november 2021,"Goede pasvorm, comfortabel"
Clique Basic Softshell Jas Heren-580-XL,"43
  60",Prima,Bosnjo,2 november 2021,Prima voor dit geld
Clique Basic Softshell Jas Heren-580-XL,"43
  60",Erg geschikte jas voor de herfst,Wirdummer,14 september 2021,Heerlijke comfortabele jas
KIMO DIRECT Verwarmde Bodywarmer met 10.000 mAh Powerbank - Verwarmd Vest - Unisex,"99
  95",Een war(m)e omhelzing!,LeonLeGrand,9 januari 2021,"U ziet ze dagelijks in het straatbeeld, vooral in de grote steden, de beroeps verkeersregelaar. Uren op een zelfde positie door regen en wind, bij nacht en ontij. Ik ben zo'n landelijk beroeps verkeersregelaar, mooi vak, maar valt echt onder de zwaarste categorie werknemers. Even van de verkeersheuvel afstappen, naar het toilet moeten, een warm bakje koffie nuttigen is vaak onmogelijk, en dan die regen, de kou die door je botten omhoog trekt zodat je na een paar uur compleet koud en doorweekt staat te trillen van ellende. Maar voor uw veiligheid, moet de beroeps verkeersregelaar doorbijten, zelfs als sommige mensen met regelmaat de verkeersregelaar van alles toewenst vanuit de warmte van zijn of haar vierwieler. Ik heb deze verwarmde bodywarmer aangeschaft en werkelijk het voelt als een warme omhelzing! Ook nog eens omdat het wind en waterdicht is, net die ondersteuning biedend door de nauwe aansluiting, verwarmend op de plekken waar dat noodzakelijk is. Heb deze verwarmde bodywarmer nu al en paar keer gebruikt en het helpt me door de lange werkdagen heen. En doet dus wat het moet doen. Heb onlangs ook even contact opgenomen met de administratie en planning van mijn werkgever om deze soort verwarmde bodywarmers te standaardiseren als PBM ( Persoonlijk Beschermings  Middel )  voor mijn collega's. Ik zou graag iedereen aanraden in de buiten beroepen om dit ook te overwegen!"
KIMO DIRECT Verwarmde Bodywarmer met 10.000 mAh Powerbank - Verwarmd Vest - Unisex,"99
  95",Mooie bodywarmer,CForster,4 januari 2021,"Goede kwaliteit, dun dus makkelijk onder een trui te dragen. Maat is net aan, S/M valt erg klein, L/XL is voor een lang of vol persoon met grote borstkas te klein."
KIMO DIRECT Verwarmde Bodywarmer met 10.000 mAh Powerbank - Verwarmd Vest - Unisex,"99
  95",Briljante oplossing voor motorrijders,Mikeymikeradio,15 maart 2021,"Pasvorm is snug maar het artikel is licht rekbaar dus ik krijg hem toch dicht. Hij zit dan strak op je body. Als je echt en hele dikke buik hebt dan zou een grotere maat beer zijn (Er is en S en L maar dan zou een XL beter zijn). De kwaliteit van het vest is goed, het is duidelijk veel sterker en robuuster dan de Alie varianten die ook nog eens veel te klein zijn. De powerbank is klein en toch 10.000mA en past perfect in het zakje, ik heb er een 2e bij gekocht van 10.000mA als reserve maar in de laagste stand ging deze de hele dag mee (van 09:00-18:00) bij zo'n 4-5 graden. Het vest is lekker warm zonder overdreven aanwezig te zijn.  Kortom, werk je veel buiten, rijd je motor in weer en wind of ben je gewoon een koukleum, laat dan de Alie-zooi links liggen en koop dit vest!"
KIMO DIRECT Verwarmde Bodywarmer met 10.000 mAh Powerbank - Verwarmd Vest - Unisex,"99
  95",Kimo bodywarmer,Jorme,10 december 2020,Zeer tevreden van deze bodywarmer Zit zeer comfortabel en geeft dankzij de bijgeleverde batterij een aangename warme af.
KIMO DIRECT Verwarmde Bodywarmer met 10.000 mAh Powerbank - Verwarmd Vest - Unisex,"99
  95",Aanrader,Mustafa0,20 januari 2021,Wat er op de beschrijving staat klopt gewoon houdt je zeker warm
KIMO DIRECT Verwarmde Bodywarmer met 10.000 mAh Powerbank - Verwarmd Vest - Unisex,"99
  95",Super body,Nanookeguusie,17 januari 2021,De body werkt super goed blijft lang lekker warm Zeker als je hele dag moet werken in de koude Echte aanrader
Urban 5884® - Ralph - Biker Jack - Zwart -Heren jas - Lams Leer Jas - Maat 2XL,"189
  -",zeer tevreden,Brancod,27 januari 2021,een mooi jasje valt inderdaad wat klein maar at is aangegeven door de verkoper.dus heb een maatje groter besteld de maar was goed het model was perfect en de kwaliteit wauw echt mooi soepel leer fijn dat het ook echt leer is was al een tijdje opzoek naar een echte leren jas.ik raad deze jas zeker aan
Urban 5884® - Ralph - Biker Jack - Zwart -Heren jas - Lams Leer Jas - Maat 2XL,"189
  -",Chinese jas??,Poulo,31 december 2020,"Het lijkt op een jas uit China, een 5 XL valt als een 2 XL, belachelijk gewoon..."
Didriksons FREDRIK USX PARKA Heren Outdoor parka - maat XL,"215
  -",Super fijne jas,Roobster1973,27 december 2022,"Hele fijne super jas. Is winddicht en zou ook waterdicht moeten zijn maar nog geen ervaring. Enige minpunt was dat de multi rits onderin plots een stukje open ging staan bij het bukken of in de auto of op de fiets stappen. Deze klacht gemeld en ik heb 2 dagen erna gelijk een nieuwe jas opgestuurd gekregen zodat ik deze jas retour kan sturen, echt SUPER geregeld."
BJØRNSON Regn PU Regenjas / Winterjas Heren - Waterdicht - Maat L - Zwart,"69
  95","Warm, degelijk materiaal, waterafstotend",veelshopper,7 oktober 2022,"Deze jas beschermt tegen zware regenval ook op de fiets, laat geen druppel door, is warm en degelijk."
BJØRNSON Regn PU Regenjas / Winterjas Heren - Waterdicht - Maat L - Zwart,"69
  95",Prima,ceessie13,3 januari 2023,valt normaal
BJØRNSON Regn PU Regenjas / Winterjas Heren - Waterdicht - Maat L - Zwart,"69
  95",Fantastisch,Geertje51,11 april 2022,Hij is prettig in het dragen van de jas.
JACK & JONES JJSAKA PARKA Heren Jas - Maat L,"40
  97",Wintervest,InesJaspers,11 januari 2023,"Degelijke gevoerde wintervest van Jack & Jones. Ideaal voor de koudere dagen, zeker aangezien de jas was langer is & een kap heeft"
JACK & JONES JJSAKA PARKA Heren Jas - Maat L,"40
  97",Warme jas. Goede prijs,P1770,9 december 2022,Lichte maar warme en goed geprijsde jas.
Basila® Elektrische Bodywarmer met Powerbank - L - 9 Zones - tot 50 °C - Thermo Kleding - Heated vest - Elektrische kleding - Thermo vest - Verwarmde Vest - Verwarmde Kleding,"74
  99",goed warm,barbaravdv070,16 november 2022,deze bodywarmer houdt me lekker warm op kantoor en staat nu op de verlanglijsten van twee andere collega. zeker een aanrader!
Basila® Elektrische Bodywarmer met Powerbank - L - 9 Zones - tot 50 °C - Thermo Kleding - Heated vest - Elektrische kleding - Thermo vest - Verwarmde Vest - Verwarmde Kleding,"74
  99",Aanrader,Bronny198265,28 september 2022,"Gekocht voor mijn vriendin omdat ze het vaak koud heeft. De bodywarmer valt klein, maar L was perfect voor haar (ze is 1m50) normaal postuur. Het is lekker warm en knus om het te dragen zegt ze."
Basila® Elektrische Bodywarmer met Powerbank - L - 9 Zones - tot 50 °C - Thermo Kleding - Heated vest - Elektrische kleding - Thermo vest - Verwarmde Vest - Verwarmde Kleding,"74
  99",Perfect,Pierre1952slie,30 oktober 2022,Goed en zeer snel
Basila® Elektrische Bodywarmer met Powerbank - L - 9 Zones - tot 50 °C - Thermo Kleding - Heated vest - Elektrische kleding - Thermo vest - Verwarmde Vest - Verwarmde Kleding,"74
  99",Is super . Maar valt erg klein,nobelen,30 september 2022,valt klein . maar werkt goed
Basila® Elektrische Bodywarmer met Powerbank - L - 9 Zones - tot 50 °C - Thermo Kleding - Heated vest - Elektrische kleding - Thermo vest - Verwarmde Vest - Verwarmde Kleding,"74
  99",lekker warm,jessica4756289,18 oktober 2022,de bodywarmer zit lekker en heeft een lichte stretch. ik draag normaal bij H&M maat M en deze maat M valt me iets groter uit dan normaal. in het algemeen een goed product en werd snel geleverd.
Basila® Elektrische Bodywarmer met Powerbank - L - 9 Zones - tot 50 °C - Thermo Kleding - Heated vest - Elektrische kleding - Thermo vest - Verwarmde Vest - Verwarmde Kleding,"74
  99",Voldoet niet,Dietr87,9 november 2022,"Aangekocht voor woon-werkverkeer met moto. Als test een tweetal uur aan gedaan in de living. Verwarmt echt onvoldoende. Bovendien zit de batterij aan de binnenkant, daar waar ook een verwarmelement zit. Deze warmt dus enorm op met als resultaat dat dit de enige echt warme plaats was... Besluit: slechte aankoop. Onmiddellijk geretourneerd. Mijn zoektocht gaat verder."
Regatta Pack-It II  Regenjas - Maat XXL  - Mannen - zwart,"33
  21",Goede prijs/kwaliteit verhouding,Sodejuutje,11 augustus 2021,Je moet je niet teveel in hoeven te spannen anders is het toch nog zweten in deze jas.
Regatta Pack-It II  Regenjas - Maat XXL  - Mannen - zwart,"33
  21",Regenjas,Tonnie053,1 december 2020,Houd prima droog
Regatta Pack-It II  Regenjas - Maat XXL  - Mannen - zwart,"33
  21",Een top regenjack,Das5,22 juni 2021,Een goed jack.  Een aanrader
Regatta Pack-It II  Regenjas - Maat XXL  - Mannen - zwart,"33
  21",Goede kwaliteit,Saul,20 april 2021,Valt ruim wat erg fijn is. Dikke kwaliteit regenjas. Komt in handig opbergzakje.
Regatta Pack-It II  Regenjas - Maat XXL  - Mannen - zwart,"33
  21",Goed regenjack,Jammervanmijnaliassen,15 maart 2021,"Direct uitgeprobeerd in een fikse bui en tevreden! We (een zwart, een blauw) bleven droog, de capuchons sluiten goed af. Top."
Regatta Pack-It II  Regenjas - Maat XXL  - Mannen - zwart,"33
  21",Zeer goed,Juud0708,27 augustus 2019,Positieve punten van dit artikel zijn: goede kwaliteit en goede prijs/kwaliteit.
Columbia Pouring Adventure II Regenjas Heren Waterdicht - Jas met Verstelbare Capuchon - Jassen Heren - Maat L,"76
  82",Goede kwaliteit regenjas,Robert1707,12 november 2020,Prima prijs kwaliteit verhouding. Erg tevreden over deze jas
Columbia Pouring Adventure II Regenjas Heren Waterdicht - Jas met Verstelbare Capuchon - Jassen Heren - Maat L,"76
  82",Voldoet aan verwachtingen!,Noemhetmaarjan,26 oktober 2022,"Licht, comfortabel en kan tegen een spatje!"
Columbia Pouring Adventure II Regenjas Heren Waterdicht - Jas met Verstelbare Capuchon - Jassen Heren - Maat L,"76
  82",Mooie jas,Milana1974,30 juni 2021,"Mooi design, veel zakken en diepe zakken. Waterdicht."
Columbia Pouring Adventure II Regenjas Heren Waterdicht - Jas met Verstelbare Capuchon - Jassen Heren - Maat L,"76
  82",Fiets regenjas voor als het niet te koud is,Scanner,12 september 2019,"Goede regenjas voor op de fiets hij is wel dun voor de warmte moet je deze niet kopen, voor als het wat regent onderweg is deze perfect, ik het wel een linkse ritssluiting denk dat ze zo zijn maar is even wennen"
Kjelvik Kevan Softshelljas Heren - Maat XL,"64
  95",Wat een mooie jas,Eigenwens,17 maart 2023,Echt een mooie jas dit. Prima prijs - kwaliteit verhouding.
Kjelvik Kevan Softshelljas Heren - Maat XL,"64
  95",Fijne jas,ZoZimpel,28 december 2021,Zit lekker en waterafstotend
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
JACK&JONES JJEROCKY JACKET NOOS Heren - Maat L,"58
  -",Valt heel klein!,MaartenLinders,4 mei 2022,Valt heel klein!
JACK&JONES JJEROCKY JACKET NOOS Heren - Maat L,"58
  -",Valt heel klein!,MaartenLinders,4 mei 2022,Valt heel klein!
JACK&JONES JJEROCKY JACKET NOOS Heren - Maat L,"58
  -",Leuk,RonaldOegstgeest,3 april 2023,Super leuk jack mooie kwaliteit maar valt erg klein wat heel jammer is! xxl is mij met normaal xl al t krap!
JACK&JONES JJEROCKY JACKET NOOS Heren - Maat L,"58
  -",Schitterende Jas,KeesUitSchagen,30 augustus 2022,Vanmiddag deze Jas ontvangen die ik gister besteld heb Zit als gegoten Ik heb een xxl besteld Had ook geen kleinere maat moeten bestellen
JACK&JONES JJEROCKY JACKET NOOS Heren - Maat L,"58
  -",Aangenaam verrast,DJIMarcoR,11 januari 2023,"Echt een mooi jekkie voor weinig geld. Ben aangenaam verrast door de kwaliteit van het ding. Ben zelf 1m85, 77kg en de XL past mij perfect. Dat dus."
Getailleerde Heren Mantel met Capuchon - Grijs,"141
  46",Fijne jas,Tizzywizzy,20 februari 2023,Mooi afgewerkte jas. Wind en waterdicht op de fiets. Lekker warm. Degelijke rits en capuchon. Fijne diepe zakken. Ben er blij mee.
Columbia Point Park Winterjas Heren Volwassen - Outdoorjas - Waterdicht - Geïsoleerd - Zwart - Maat XL,"127
  91",Lichtgewicht,Ndm68,28 december 2021,Lichtgewicht die regen buiten houd en warmte binnen . Super om wandeltochten te maken
Superdry Code XPD Everest Jas Mannen - Maat M,"100
  -",Leuke en handige jas,MrAnanas,5 januari 2023,"Het design sprak me meteen aan waarna ik de jas bestelde. De soldenkorting was natuurlijk een bonus. De pasvorm tailleert eerder klein, naar gewoonte bij Superdry. Ik bestelde dus een XXL en deze past perfect. De kap is afneembaar (rits) en de bont (fake fur) is afneembaar via drukknoppen. Wat tevens handig is, zijn de ritsen aan de heupen : deze zorgen ervoor dat je comfortabel kunt zitten of fietsen, want de jas is wel wat langer en komt over de heupen. De ritssluiting wordt dubbel beschermd door Velcro-flappen: erg koud zal je het niet krijgen in deze jas! De Velcro voelt kwaliteitsvol aan.Enig minpuntje is het gebrek aan (afsluitbare) binnenzakken. Je moet het doen met een netje aan de binnenkant. Dit wordt gecompenseerd met voldoende zakken aan de buitenkant. Ik ben erg tevreden met deze aankoop. Een aanrader!"
Baseball Jacket Vintage - 7792 - Zwart,"67
  68",Rafelt en pluist,Bert053,19 januari 2023,Dikke min
Baseball Jacket Vintage - 7792 - Zwart,"67
  68",Jas is van zeer slechte kwaliteit,D1987D,25 november 2022,De jas is totaal niet wat je er van zou verwachten.Het is eerder een trainingsjas van zeer goedkope kwaliteit.
JACK&JONES ESSENTIALS JJESEAM JACKET HOOD NOOS Heren Jas - Maat M,"45
  49",Zeer goed,Drll,4 november 2021,"Materiaal van goede kwaliteit, dat is wat ik er goed aan vind."
JACK&JONES ESSENTIALS JJESEAM JACKET HOOD NOOS Heren Jas - Maat M,"45
  49",Mooie jas,Sel3,21 september 2021,Ik ben echt blij met deze mooie jas
JACK&JONES ESSENTIALS JJESEAM JACKET HOOD NOOS Heren Jas - Maat M,"45
  49",Perfect,Jassenkoning,31 augustus 2021,Perfect
JACK&JONES ESSENTIALS JJESEAM JACKET HOOD NOOS Heren Jas - Maat M,"45
  49",de perfecte Tussenjaar met capuchon,Verm20,8 juni 2021,Fijne jas
JACK&JONES ESSENTIALS JJESEAM JACKET HOOD NOOS Heren Jas - Maat M,"45
  49",lekkere jas,oortjestester2019,1 juni 2021,"Het is een lekkere comfortabele jas om in te lopen, het enigste minpuntje is dat hij geen ritsen heeft"
JACK&JONES ESSENTIALS JJESEAM JACKET HOOD NOOS Heren Jas - Maat M,"45
  49",Zeer goed,Helemooiejasgoedekwalitei,20 april 2021,Mooie jas zit goed goede kwaliteit en pasvorm
Cappuccino Italia - Heren Jas winter Hooded Winter Jacket Army - Groen - Maat M,"61
  99",Mooie licht gewicht jas,Ivie18,11 maart 2023,Prima kwaliteit voor de prijs
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Senvi Classic Bodywarmer- Maat L - Kleur Rood,"37
  95","Prima kwaliteit, pasvorm niet ideaal voor lange mannen",ICSC,8 juni 2020,"Bodywarmer ziet er goed uit, mooie kwaliteit. De pasvorm is echter niet geschikt voor langere mannen. De bodywarmer valt breed (breder dan een standaard L) en is voor lange mannen (1m93) te kort bij de rug."
Senvi Classic Bodywarmer- Maat L - Kleur Rood,"37
  95",Aanrader,Lizzie2000,12 november 2019,Goede pasvorm en prettige stof
Senvi Classic Bodywarmer- Maat L - Kleur Rood,"37
  95",Redelijke prijs redelijke aankoop,metdedagleuker,27 augustus 2019,Prijs kwaliteit is goed
Senvi Classic Bodywarmer- Maat L - Kleur Rood,"37
  95",Fijn jack,MauritsThiele,17 november 2018,Mooie kleur en zit goed
Senvi Classic Bodywarmer- Maat L - Kleur Rood,"37
  95",Fijne bodywarmer,Hendrikkes,18 januari 2019,"Goede kwaliteit, warm en snelle levering. Helemaal tevreden"
Blend He Outerwear Heren Jas - Maat L,"49
  98",Fijne jas! Lekker warm!,TvdbvM,27 februari 2023,Fijne jas voldoet aan verwachting.
Blend He Outerwear Heren Jas - Maat L,"49
  98",degelijke jas,Microscream,2 februari 2023,"zeer degelijke winddichte jas, maar bestel maatje kleiner, viel zeer groot uit voor XL ten opzichte van andere XL jassen"
JACK&JONES JCOOTTO PUFFER SN Heren Jas - Maat L,"44
  02",Goede kwaliteit en precies zoals omschrijving. Erg warm ook.,Fxvdl,19 januari 2023,"Maand oud, dagelijks aan. Erg warm en redelijk water resistant."
JACK&JONES JCOOTTO PUFFER SN Heren Jas - Maat L,"44
  02",Rits snel kapot,SvenJ96,17 januari 2023,"Fijne jas, valt een maat groter. Na 4 keer aan te hebben gehad ritssluiting al kapot."
Wax Jas – Donker Groene Jas - Wax jassen heren – Waterafstotend – Winddicht,"49
  95",Idieaal Mooi,Nawch,29 maart 2023,Het is een Prachtige Jas dat echt luxe heeft en goed valt...enkel je voelt de wax in het begin daar na word het minder los daar van is het echt een mooie jas..probeer en je zult geen spijt krijgen..geniet ze..
Wax Jas – Donker Groene Jas - Wax jassen heren – Waterafstotend – Winddicht,"49
  95",jas is een andere dan op foto?,BastiaanMFL,27 december 2022,jas is de verkeerde die ik heb besteld
Wax Jas – Donker Groene Jas - Wax jassen heren – Waterafstotend – Winddicht,"49
  95",erg fijne jas,johannam1983,13 november 2022,gekocht voor mijn man. erg blij mee. ziet er stoer uit en is lekker warm.
Superdry Heren Tech Soft Shell trainingsjas,"71
  23",Goed,Bhai,29 april 2022,Goede jas
Superdry Heren Tech Soft Shell trainingsjas,"71
  23","mooi en stevig, wel alleen voor hartje zomer aangeraden",Tntn,11 april 2022,"prima zomerjasje, zit lekker en ziet er netjes uit valt wel een beetje klein uit (kan persoonlijke voorkeur wezen) maar had gelukkig een maatje te groot gekocht en dat raad ik u ook aan. wel aan de dunne kant dus kan misschien een beetje koud zijn in de lente en herfst, ook niet winddicht.1 ster aftrek omdat de overstap van een winterjas naar deze jas wel groot is"
Urban 5884® - Calvin - Heren - Lams Leren Jack - Casual Jas - Zwart - Maat 2XL,"189
  -",Prima jasje,V2022,4 mei 2022,"Heerlijk jasje, lekker zacht leer."
Urban 5884® - Calvin - Heren - Lams Leren Jack - Casual Jas - Zwart - Maat 2XL,"189
  -",Goed,0paR,8 december 2021,Een fijne jas
Urban 5884® - Calvin - Heren - Lams Leren Jack - Casual Jas - Zwart - Maat 2XL,"189
  -",Top jas,Brancod,5 oktober 2021,Wat een mooie leren jas voor weinig hou ik van ik vind het kwaliteit er fijn en de binnenzakken zijn ook erg fijn echt een aanrader
America Today Jace - Heren Regenjas - Maat L,"79
  99",Ideale jas voor wandeling en merr,Anneliese1963,2 februari 2023,Top kwaliteit zoals ik van dit merk gewend ben.
America Today Jace - Heren Regenjas - Maat L,"79
  99","Stijlvol, lichtgewicht, waterdicht!",JohnnyboyGouda,24 december 2022,"Fijne regenjas. Toch stijlvol, hip, en beschermt uitstekend tegen de regenbuien. Goede kwaliteit (ook de afwerking) en erg licht van gewicht bovendien. Ik heb een maatje groter genomen dan wat ik doorgaans draag, omdat ik hem 's winters gewoon over mijn gewone jas wil kunnen dragen."
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Superdry Code XPD Everest Heren Jas - Maat L,"100
  -",Leuke en handige jas,MrAnanas,5 januari 2023,"Het design sprak me meteen aan waarna ik de jas bestelde. De soldenkorting was natuurlijk een bonus. De pasvorm tailleert eerder klein, naar gewoonte bij Superdry. Ik bestelde dus een XXL en deze past perfect. De kap is afneembaar (rits) en de bont (fake fur) is afneembaar via drukknoppen. Wat tevens handig is, zijn de ritsen aan de heupen : deze zorgen ervoor dat je comfortabel kunt zitten of fietsen, want de jas is wel wat langer en komt over de heupen. De ritssluiting wordt dubbel beschermd door Velcro-flappen: erg koud zal je het niet krijgen in deze jas! De Velcro voelt kwaliteitsvol aan.Enig minpuntje is het gebrek aan (afsluitbare) binnenzakken. Je moet het doen met een netje aan de binnenkant. Dit wordt gecompenseerd met voldoende zakken aan de buitenkant. Ik ben erg tevreden met deze aankoop. Een aanrader!"
Kjelvik Odense Softshelljas Heren - Maat 4XL,"54
  95",Prima jas,Lluvers,6 januari 2023,"Topper, had deze al in een andere maat."
WE Fashion Heren overjas met gewatteerde inzet,"175
  -",Voldoet totaal niet.,Beegdenaar,23 november 2021,De rits open en sluit niet goed. De pasvorm is slecht en de knopen gaan heel slecht open en dicht. Binnen 30 seconden beslist: terugsturen.
JACK&JONES PLUS JJSAKA PARKA PS Heren Jas - Maat EU3XL US1XL,"47
  55",Nou groot vermaak maar korte mouwen voor het model,Trep,27 januari 2023,Nou zit lekker mouwen wat aan de korte kant
Regatta Cera V Softshell Waterafstotende Wandeljas - Outdoorjas - Mannen - Denim,"19
  95",Onvoldoende kennis van voorwaarden,Paulus221,26 mei 2022,"Het product is naar behoren,maar prijs verschil op wat op de site van bol.com staat.BD Store is niet op de hoogte van de voorwaarden van bol.com."
Alwero bodywarmer Alpen ADULT Lilly M,"69
  95",Roos schaapje,Sarras68,12 oktober 2022,Heerlijk warm en mooi model
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Travelin' Jack Peder - Heren Jacket - Outdoor jas mannen - Navy blauw - Maat XXL,"59
  95",Maat klopt niet,provi,5 april 2023,"Ik heb xxl besteld ,dat is mijn maat ,maar deze maat klopt niet is kleiner als ze opgeven ,ruim kleiner mouwen waren 10 cm korter"
Travelin' Jack Peder - Heren Jacket - Outdoor jas mannen - Navy blauw - Maat XXL,"59
  95",Isn't that nice,Klontian,3 april 2023,"It is not convenient, and it is not 100% waterproof"
Ralka Regenjack - Senior - Aqua - L,"15
  77",Waterdicht en winddicht.,HdvC,1 oktober 2022,Dit jack is water- en winddicht.  Helaas niet ademend.Omschrijving klopt niet helemaal: geen ritssluiting in de zakken en slecht 1 bies op de rug.Handig tasje waar je je opgevouwen regenjack in kan doen is echt niet zo handig. Sterker nog.... Je krijgt het jasje er niet of met heeeeel veel moeite in.
Ralka Regenjack - Senior - Aqua - L,"15
  77",Tevreden,Yasminodette,30 november 2021,Is ok
